R,G,B
4,2,5
4,2,5
4,3,5
4,2,5
4,2,5
4,2,5
4,2,5
4,2,5
3,1,2
3,1,2
3,1,2
3,1,2
2,1,2
3,1,2
3,1,2
3,1,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
3,1,2
3,1,2
3,1,2
4,2,3
4,2,3
5,3,4
5,3,4
5,3,4
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
4,2,5
4,2,5
4,2,5
4,2,5
4,2,5
4,2,5
4,2,5
4,2,5
5,3,6
6,4,7
6,4,7
5,3,6
3,1,4
2,0,3
3,1,4
4,2,5
3,1,2
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
5,3,4
5,2,4
5,3,4
4,2,3
4,2,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
4,2,3
4,2,3
5,3,4
5,3,4
5,3,4
5,1,2
5,1,2
5,1,2
5,1,2
6,2,3
6,2,3
7,3,4
8,4,5
8,4,5
8,4,5
8,4,5
8,4,5
8,4,5
8,4,5
8,4,5
8,4,5
8,3,7
8,3,7
8,3,7
7,2,6
7,2,6
7,3,6
7,2,6
7,2,6
4,0,3
6,1,5
8,3,7
7,2,6
5,0,4
4,0,3
6,1,5
8,3,7
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
4,2,3
4,2,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
4,2,3
4,2,3
5,3,4
5,3,4
4,2,5
4,2,5
4,2,5
4,2,5
4,2,5
4,2,5
4,2,5
4,2,5
3,1,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
5,2,3
3,0,2
3,1,2
3,1,2
4,2,3
4,2,3
5,3,4
5,3,4
5,3,4
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
5,3,5
8,4,5
9,5,6
8,4,5
6,2,3
5,1,2
5,1,2
6,2,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
4,2,3
4,2,3
5,3,4
4,3,4
5,3,4
5,2,3
4,2,3
3,1,2
3,1,2
3,1,2
5,1,2
5,1,2
5,1,2
3,1,4
3,1,4
3,1,4
3,1,4
3,1,4
3,1,4
3,1,4
3,1,4
6,1,5
6,1,5
7,3,4
7,3,4
7,3,4
4,2,5
3,1,4
2,0,3
2,0,3
5,0,4
6,1,5
8,4,5
9,5,6
9,5,6
9,5,6
9,5,6
9,5,4
9,5,4
9,5,4
9,5,4
9,5,6
10,4,6
10,4,6
10,4,6
9,3,5
8,2,4
8,2,4
7,1,3
7,1,3
5,0,1
7,1,3
9,3,5
8,2,6
6,0,4
4,0,3
6,1,5
8,3,7
4,2,5
4,2,3
4,2,3
4,2,3
4,2,3
6,2,3
6,2,3
6,2,3
7,3,4
5,3,4
5,3,4
4,2,3
4,2,3
3,1,2
3,1,2
3,1,2
3,1,3
3,1,2
3,1,2
3,1,2
3,1,4
3,1,4
3,1,4
3,1,4
3,1,4
2,2,4
2,2,2
3,3,3
3,3,3
4,4,4
4,4,4
5,3,6
5,3,6
4,2,5
4,2,5
3,1,4
2,0,3
2,0,3
2,0,3
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
3,1,2
3,1,2
3,1,2
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
1,0,0
3,1,2
5,3,4
6,4,5
6,5,5
4,2,3
2,0,1
1,0,0
1,0,0
4,2,3
6,4,5
6,4,5
5,3,4
3,1,2
3,1,2
3,1,2
3,2,0
3,2,0
3,3,0
3,2,0
5,1,0
4,1,0
5,1,0
5,1,0
4,0,0
6,0,0
8,2,2
9,3,3
9,3,3
8,2,2
6,0,0
5,0,0
5,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
5,1,2
4,0,2
4,0,2
5,0,3
5,0,6
3,0,7
2,0,6
0,0,7
0,0,7
4,3,11
3,0,9
6,1,8
9,2,10
11,1,9
9,0,5
11,0,6
12,3,8
4,3,8
2,3,8
1,2,7
3,2,8
5,3,8
8,3,9
7,2,6
7,1,5
9,3,5
10,4,7
10,4,4
9,4,1
6,2,0
6,2,0
5,4,0
8,4,1
10,1,2
11,1,2
12,0,2
13,1,3
13,1,1
15,1,1
16,2,1
16,2,1
14,0,0
13,1,1
13,3,4
14,3,7
14,5,10
11,5,9
9,2,9
7,2,8
6,4,9
4,2,7
6,1,7
8,3,8
8,3,9
7,1,5
7,1,5
9,3,7
8,2,6
7,2,6
7,3,4
4,2,3
4,2,3
3,3,3
5,5,5
7,7,7
4,4,4
3,3,3
2,2,4
1,1,3
1,0,5
1,0,5
2,1,6
2,1,6
4,3,8
3,2,7
2,2,4
2,2,4
2,2,2
2,3,2
3,3,1
4,2,5
4,2,5
4,2,5
4,2,5
4,2,5
3,1,4
3,1,4
3,1,4
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
3,1,2
3,1,2
3,1,2
3,1,2
4,2,3
4,2,3
5,3,4
5,3,4
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
1,0,0
2,0,1
4,2,3
6,4,5
6,4,5
5,3,4
3,1,2
2,0,1
2,0,1
4,2,3
6,4,5
6,4,5
5,3,4
3,1,2
3,1,2
4,2,3
4,3,1
4,3,0
4,3,0
4,3,0
6,2,0
6,2,0
6,2,0
6,2,0
6,1,0
6,1,0
10,2,0
10,2,0
10,2,0
10,2,0
8,0,0
6,0,0
5,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,0,2
3,1,2
3,0,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,0,2
5,0,3
5,0,6
6,1,7
4,1,8
2,1,9
1,0,8
0,0,7
6,5,13
5,2,11
7,2,9
12,2,10
13,2,8
12,0,4
14,0,4
14,2,6
6,1,5
3,1,6
6,1,7
8,2,6
11,2,7
14,3,7
15,3,5
17,3,2
15,1,0
16,2,0
17,4,0
17,4,0
14,4,0
13,3,0
14,5,0
16,6,0
17,2,0
20,1,0
20,1,0
22,1,0
23,1,0
24,1,0
25,2,0
25,2,0
23,0,1
21,0,0
21,2,0
20,2,0
18,2,2
16,2,2
16,1,4
13,1,5
12,3,4
10,1,2
10,1,2
13,3,4
13,3,4
11,0,1
11,0,1
13,1,3
11,1,2
12,2,3
10,1,2
7,1,1
6,2,1
4,3,1
6,5,3
6,6,4
4,4,4
4,4,4
3,3,3
2,2,4
2,1,6
2,1,7
3,2,8
4,3,9
4,3,9
3,4,8
2,3,5
1,3,2
1,3,2
2,4,1
3,5,0
4,2,5
4,2,5
4,2,5
4,2,5
4,2,5
5,3,6
5,3,6
5,3,6
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
3,1,2
3,1,2
4,2,3
4,2,3
5,3,4
5,3,4
5,3,4
5,3,4
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
4,2,3
3,1,2
3,1,2
3,1,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
1,0,0
2,0,1
4,2,3
6,4,5
7,5,6
6,4,5
5,3,4
4,3,3
2,0,1
4,2,3
6,4,5
6,4,5
4,2,3
3,1,2
3,1,2
4,2,3
4,3,1
4,3,1
4,3,1
4,3,1
6,2,1
6,2,1
6,2,1
6,2,1
6,0,0
7,1,1
7,1,1
8,2,2
10,1,2
9,0,1
9,0,1
6,0,0
5,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,4
3,1,4
3,2,7
3,2,7
2,3,8
2,3,8
1,2,7
0,1,6
6,5,10
5,3,8
8,2,6
12,3,6
15,3,5
14,0,0
15,0,0
18,2,2
12,0,0
13,0,0
15,0,0
19,1,0
24,3,2
28,4,2
30,6,2
34,7,2
29,2,0
31,4,0
33,6,0
34,8,0
34,8,0
34,8,0
34,11,0
38,12,0
37,8,0
39,7,0
39,7,0
41,8,0
41,8,0
43,7,0
44,8,0
44,8,0
42,6,0
40,6,0
38,6,0
35,5,0
33,4,0
32,5,0
32,4,0
29,6,0
26,7,0
23,6,0
22,5,0
25,6,0
24,5,0
21,2,0
21,2,0
23,4,0
21,3,1
18,3,0
16,2,0
13,2,0
11,1,0
11,3,0
10,5,2
9,5,2
8,4,3
7,3,4
