R,G,B,T
86,86,141,298
86,86,163,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,166,298
86,86,143,298
86,86,163,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,168,298
86,86,146,298
86,86,159,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,160,298
86,86,153,298
86,86,159,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
89,89,159,298
45,45,72,298
26,26,49,298
82,82,161,298
86,86,168,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,170,298
86,86,158,298
86,86,146,298
86,86,168,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,165,298
86,86,143,298
86,86,164,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,167,298
86,86,144,298
86,86,161,298
86,86,170,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,157,298
86,86,154,298
86,86,162,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
89,89,155,298
40,40,63,298
27,27,53,298
86,86,167,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,170,298
86,86,157,298
86,86,146,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,162,298
86,86,148,298
86,86,163,298
86,86,168,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,167,298
86,86,144,298
86,86,162,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,168,298
86,86,154,298
86,86,155,298
86,86,164,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
87,87,170,298
64,64,106,298
37,37,59,298
51,51,101,298
88,88,171,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,170,298
86,86,156,298
86,86,147,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,170,298
86,86,161,298
86,86,146,298
86,86,167,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,166,298
86,86,143,298
86,86,162,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
86,86,169,298
85,85,168,298
98,98,175,298
143,143,198,298
17,17,164,298
17,17,223,298
17,17,239,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,239,298
17,17,230,298
17,17,171,298
17,17,224,298
17,17,239,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,236,298
17,17,178,298
17,17,213,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,216,298
17,17,196,298
17,17,213,298
17,17,239,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,239,298
17,17,204,298
9,9,81,298
5,5,67,298
16,16,226,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,239,298
17,17,210,298
17,17,177,298
17,17,237,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,239,298
17,17,229,298
17,17,170,298
17,17,226,298
17,17,239,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,234,298
17,17,173,298
17,17,217,298
17,17,239,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,207,298
17,17,198,298
17,17,220,298
17,17,239,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,239,298
17,17,195,298
8,8,70,298
5,5,76,298
16,16,236,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
17,17,238,298
