R,G,B,T
232,232,232,298
178,178,174,298
178,178,170,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,172,298
178,178,175,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,175,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,175,298
178,178,172,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
181,181,175,298
132,132,132,298
0,0,0,298
16,16,16,298
164,164,157,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,172,298
178,178,175,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,175,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,175,298
178,178,172,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,170,298
178,178,174,298
178,178,173,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
180,180,173,298
147,147,146,298
5,5,5,298
7,7,7,298
152,152,146,298
179,179,172,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,175,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,175,298
178,178,172,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
178,178,171,298
