R	G	B
86	86	141
16	16	163
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	170
0	0	152
0	0	119
0	0	166
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	170
0	0	154
0	0	118
0	0	165
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	171
0	0	149
0	0	121
0	0	168
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	172
0	0	129
0	0	53
0	0	58
0	0	165
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	171
0	0	145
0	0	123
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	171
0	0	147
0	0	122
0	0	168
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	171
0	0	141
0	0	126
0	0	170
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	160
0	0	140
0	0	138
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	155
0	0	64
0	0	43
0	0	145
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	170
0	0	148
0	0	137
0	0	153
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	171
0	0	133
0	0	133
0	0	171
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	169
0	0	170
0	0	134
0	0	139
0	0	166
0	0	169
0	0	169
